timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2024-03-06 05:54:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:54:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:24,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:29,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:34,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:39,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:44,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:49,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:54,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:55:59,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:04,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:09,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:14,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:19,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-06 05:56:24,1.0,1.0,1.0,1.0,1.0,1.0
