,timestamp,frontend-875b86bb8-wvlvq&cpu_usage,frontend-875b86bb8-wvlvq&cpu_limit,frontend-875b86bb8-wvlvq&mem_usage,frontend-875b86bb8-wvlvq&mem_usage_rate,frontend-875b86bb8-wvlvq&mem_limit,frontend-875b86bb8-wvlvq&fs_usage,frontend-875b86bb8-wvlvq&net_receive,frontend-875b86bb8-wvlvq&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
731,1658461711,0.041817219,162.015625,135.9414063,0.422627128,0.0,0.0,26.04134198,54.1899541,0.7282666666666666,0.1551098241400589,0.2176091770519538
732,1658461716,0.041817219,162.015625,130.8632813,2.964508641,0.001987787,0.030811237,25.96650767,52.72693235,0.7336,0.1580550971182254,0.2174598637867119
733,1658461721,0.031704385,163.3867188,130.8632813,3.084891597,0.013349388,0.041200044,25.96650767,52.72693235,0.7336,0.1580550971182254,0.2174598637867119
734,1658461726,0.033937375,161.2226563,130.8632813,3.098060802,0.014017757,0.041200044,26.09357093,54.45070321,0.7336,0.1580550971182254,0.2174598637867119
735,1658461731,0.030880748,161.3164063,131.4765625,3.162305701,0.013922974,0.035276622,25.87373049,59.1754728,0.7178,0.1740331491714788,0.2177145889382734
736,1658461736,0.036834741,161.4726563,131.4765625,3.89495218,0.01755959,0.038774112,25.87373049,59.1754728,0.7178,0.1740331491714788,0.2177145889382734
737,1658461741,0.040182825,161.4726563,132.0117188,2.562032431,0.012429619,0.038774112,26.40410212,54.65483073,0.7178,0.1740331491714788,0.2177145889382734
738,1658461746,0.040182825,161.5351563,132.3476563,2.480422493,0.018489698,0.030651156,25.95117937,53.00245992,0.7235555555555554,0.1714817215819692,0.2179668245233952
739,1658461751,0.037122579,161.5820313,132.3476563,2.481192766,0.017714894,0.039153948,25.95117937,53.00245992,0.7235555555555554,0.1714817215819692,0.2179668245233952
740,1658461756,0.038908515,161.5820313,132.7109375,1.418319373,0.010422709,0.039153948,25.95117937,53.00245992,0.7235555555555554,0.1714817215819692,0.2179668245233952
