,timestamp,checkoutservice-7d8cb45794-hc2rj&cpu_usage,checkoutservice-7d8cb45794-hc2rj&cpu_limit,checkoutservice-7d8cb45794-hc2rj&mem_usage,checkoutservice-7d8cb45794-hc2rj&mem_usage_rate,checkoutservice-7d8cb45794-hc2rj&fs_usage,checkoutservice-7d8cb45794-hc2rj&net_receive,checkoutservice-7d8cb45794-hc2rj&net_trainsmit,(node)192.168.31.101:9100_network,(node)192.168.31.101:9100_cpu,(node)192.168.31.101:9100_memory
5954,1658487728,0.181719353,0.2,175.546875,5.081873026,0.004686267,23.77446195,25.34194776,0.6654666666666667,0.1454596688975046,0.2235585121889476
5955,1658487733,0.188350589,0.2,175.546875,5.382883732,0.004113666,23.53231489,25.62839658,0.6654666666666667,0.1454596688975046,0.2235585121889476
5956,1658487738,0.181586924,0.2,175.546875,5.450287832,0.001088031,22.86039511,25.12580817,0.6654666666666667,0.1454596688975046,0.2235585121889476
5957,1658487743,0.182243929,0.2,175.5820313,3.818640395,0.0,22.86039511,25.12580817,0.6802,0.1464331999774851,0.2234438706904618
5958,1658487748,0.200547237,0.2,175.6445313,4.332043349,0.0,23.72145418,26.07523068,0.6802,0.1464331999774851,0.2234438706904618
5959,1658487753,0.186393611,0.2,175.6445313,3.730266194,0.0,23.72145418,26.07523068,0.6802,0.1464331999774851,0.2234438706904618
5960,1658487758,0.203066355,0.2,175.796875,3.090359065,0.0,24.07259364,28.84072173,0.6697555555555554,0.1449948618323919,0.2236809867135482
5961,1658487763,0.203895531,0.2,175.8320313,3.09043598,0.0,24.07259364,28.84072173,0.6697555555555554,0.1449948618323919,0.2236809867135482
5962,1658487768,0.195380727,0.2,177.7695313,1.655845331,0.003251217,24.07259364,28.84072173,0.6697555555555554,0.1449948618323919,0.2236809867135482
5963,1658487773,0.181722502,0.2,177.7695313,1.659512277,0.004225914,24.07259364,28.84072173,0.6674,0.146016516368875,0.2236158329381905
5964,1658487778,0.211039315,0.2,177.7695313,0.05176107,0.00475382,23.76190113,28.20991085,0.6674,0.146016516368875,0.2236158329381905
5965,1658487783,0.211926231,0.2,177.7695313,0.046910053,0.003896361,23.76190113,28.20991085,0.6674,0.146016516368875,0.2236158329381905
5966,1658487788,0.205923415,0.2,177.40625,3.172224463,0.004092288,23.76190113,28.20991085,0.6425333333333333,0.1472171847104311,0.2225890993058299
5967,1658487793,0.192617267,0.2,177.6054688,3.176214919,0.004681187,22.84477217,27.99144514,0.6425333333333333,0.1472171847104311,0.2225890993058299
5968,1658487798,0.164319422,0.2,177.6054688,3.176214919,0.003690224,22.84477217,27.99144514,0.6425333333333333,0.1472171847104311,0.2225890993058299
5969,1658487803,0.160696521,0.2,177.6054688,4.166023313,0.004219567,22.84477217,27.99144514,0.647,0.1490842130417352,0.2224074823980062
5970,1658487808,0.18298157,0.2,177.65625,2.988316396,0.003868637,21.90536357,26.17808909,0.647,0.1490842130417352,0.2224074823980062
5971,1658487813,0.184742337,0.2,171.1484375,3.550892652,0.0,21.90536357,26.17808909,0.647,0.1490842130417352,0.2224074823980062
5972,1658487818,0.19668738,0.2,171.1484375,4.34452629,0.0,18.09345132,22.48391693,0.6574444444444445,0.1479086115991077,0.2225889171424319
5973,1658487823,0.20024396,0.2,170.3046875,5.233713079,0.0,22.26086347,28.22764238,0.6574444444444445,0.1479086115991077,0.2225889171424319
